Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player-additional
74,Brian Cardinal,PF,24,DET,8,43,15.9,.612,.538,.154,5.5,10.9,8.2,8.0,1.2,0.0,0.0,15.2,,0.1,0.0,0.2,.201,,2.4,-0.5,2.0,0.0,cardibr01
75,Anthony Carter,PG,26,MIA,46,1050,8.9,.359,.073,.138,2.1,10.8,6.5,33.0,2.6,0.2,20.7,15.8,,-1.4,1.6,0.2,.008,,-4.3,1.2,-3.1,-0.3,cartean01
76,Vince Carter,SG,25,TOR,60,2385,20.5,.515,.239,.235,6.4,8.7,7.5,19.9,2.1,1.3,9.6,30.5,,4.6,2.4,7.0,.140,,4.7,-0.3,4.4,3.9,cartevi01
77,Sam Cassell,PG,32,MIL,74,2605,21.3,.545,.170,.274,2.5,10.9,6.9,34.3,1.8,0.3,11.7,27.3,,7.2,1.4,8.6,.158,,3.5,-1.1,2.4,2.9,cassesa01
78,Kelvin Cato,C,27,HOU,75,1917,15.0,.599,.003,.595,10.4,21.1,15.7,2.5,1.1,3.4,11.4,11.2,,3.6,1.7,5.3,.133,,-1.0,0.2,-0.7,0.6,catoke01
79,Tyson Chandler,C,19,CHI,71,1389,13.0,.543,.000,.730,9.3,19.8,14.4,6.5,1.1,5.0,19.8,16.6,,0.4,1.4,1.8,.062,,-3.3,-0.2,-3.5,-0.5,chandty01
80,Calbert Cheaney,SG,30,DEN,68,1631,10.3,.499,.009,.144,3.8,13.4,8.4,11.3,1.1,1.0,12.4,15.5,,0.6,0.6,1.2,.037,,-2.8,-0.8,-3.5,-0.6,cheanca01
81,Chris Childs,PG,34,TOR,69,1576,8.8,.435,.405,.240,1.3,10.2,5.6,32.9,1.9,0.2,27.3,13.0,,-0.4,1.5,1.1,.033,,-3.9,-0.3,-4.2,-0.9,childch01
82,Doug Christie,SG,31,SAC,81,2798,15.2,.578,.348,.329,2.9,11.2,7.1,17.2,2.9,0.6,16.3,15.6,,4.4,4.2,8.6,.148,,0.3,2.2,2.4,3.1,chrisdo01
83,Keon Clark,C,26,TOR,81,2185,16.7,.522,.006,.297,9.3,22.9,15.8,7.1,1.4,4.2,13.8,21.2,,1.7,3.6,5.3,.116,,-1.3,0.6,-0.7,0.7,clarkke01
